test_id,familia,subfamilia,requisito,pre_condicoes,procedimento_resumido,resultado_esperado,evidencia,estado
ROB-CON-001,robustez,contradição,Idade e grupo incompatíveis são tratados por regra,Cenário contraditório preparado,Submeter dados contraditórios,Pedido de correcção ou prioridade documentada,captura;resposta;log,passa — idade numérica tem prioridade
ROB-COV-001,robustez,cobertura populacional,País ausente não é apresentado como correspondência directa,Perfil de país sem cobertura,Obter sugestão,Grupo substituto e incerteza ficam registados,resposta;metadados;captura,passa
ROB-MOD-001,robustez,incompatibilidade de modelo,Perfil abaixo do piso Phoenix activa salvaguarda,Limite Phoenix identificado,Aplicar perfil abaixo do limite,Aviso rejeição ou piso explícito sem alteração silenciosa,configuração;captura;malha;log,passa
ROB-SRV-001,robustez,IA indisponível,Falha da IA não destrói a configuração,Configuração válida guardada,Induzir indisponibilidade do serviço,Mensagem controlada estado preservado e recuperação possível,captura;log;estado antes/depois,passa
ROB-SRV-002,robustez,JSON inválido,Resposta inválida não é aplicada,Resposta simulada inválida,Submeter resposta inválida,Rejeição registada e ausência de parâmetros corrompidos,resposta;log;estado final,passa
ROB-REN-001,robustez,renderização,Falha de renderização permite recuperação,Configuração que provoque falha controlada,Executar renderização,Mensagem controlada interface utilizável e nova tentativa possível,captura;log,passa
ROB-EXP-001,robustez,exportação,Exportação sem geometria válida é impedida,Geometria ausente ou inválida,Accionar exportação,Bloqueio e explicação explícita,captura;log,passa
ACC-AUT-001,acessibilidade,autenticação,Critérios automáticos aplicáveis são avaliados,Página de autenticação carregada em HTTP local,Executar auditoria automática,Violações e verificações manuais registadas,JSON da ferramenta;captura;HTML,falha — contraste
ACC-AUT-002,acessibilidade,dashboard,Critérios automáticos aplicáveis são avaliados,Sessão autenticada,Executar auditoria automática,Violações e verificações manuais registadas,JSON da ferramenta;captura;HTML,falha — contraste e elementos interactivos aninhados
ACC-AUT-003,acessibilidade,perfil,Critérios automáticos aplicáveis são avaliados,Sessão e formulário de perfil,Executar auditoria em estados inicial erro e sucesso,Resultados por estado preservados,JSON da ferramenta;capturas,falha — contraste e rótulos
ACC-AUT-004,acessibilidade,configuração,Critérios automáticos aplicáveis são avaliados,Modelo seleccionado,Executar auditoria nos controlos paramétricos,Resultados e elementos afectados preservados,JSON da ferramenta;capturas,falha — contraste rótulos e nome acessível
ACC-AUT-005,acessibilidade,IA,Critérios automáticos aplicáveis são avaliados,Painel de sugestão disponível,Executar auditoria antes durante e após resposta,Estados dinâmicos incluídos no relatório,JSON da ferramenta;capturas,falha — contraste
ACC-AUT-006,acessibilidade,visualizador 3D,Critérios automáticos aplicáveis são avaliados,Geometria renderizada,Executar auditoria e identificar alternativa disponível,Resultados e limitações registados,JSON da ferramenta;captura,falha — contraste; alternativa manual não avaliada
ACC-MAN-001,acessibilidade,teclado,Operações essenciais são utilizáveis apenas com teclado,Percursos críticos disponíveis,Percorrer sem rato,Operações alcançáveis accionáveis e reversíveis,vídeo;sequência de foco;notas,não executado
ACC-MAN-002,acessibilidade,foco,Foco é visível ordenado e não obstruído,Percursos críticos disponíveis,Inspeccionar sequência e sobreposições,Foco perceptível e coerente,capturas;notas,não executado
ACC-MAN-003,acessibilidade,rótulos e erros,Controlos e erros têm associação acessível,Formulários disponíveis,Inspeccionar nomes instruções e mensagens,Associações programáticas e mensagens identificáveis,árvore de acessibilidade;capturas,não executado
ACC-MAN-004,acessibilidade,ampliação e reformulação,Conteúdo mantém-se operável no nível definido,Viewport e ampliação congelados,Aplicar ampliação e dimensões previstas,Sem perda de conteúdo ou funcionalidade essencial,capturas;vídeo,não executado
ACC-MAN-005,acessibilidade,leitor de ecrã,Estados e operações essenciais são anunciados,Tecnologia assistiva identificada,Executar amostra representativa,Nomes funções estados e alterações compreensíveis,gravação;notas;capturas,não executado
ACC-MAN-006,acessibilidade,visualizador 3D,Informação essencial não depende apenas da visualização,Modelo renderizado,Executar configuração e inspecção sem depender da imagem,Parâmetros estado e operações essenciais têm alternativa,notas;capturas;árvore de acessibilidade,não executado
