Source Title,Source Year,Study Type,Main Topic Area,Key Gaps Identified,Key Limitations Discussed,Key Recommendations,Contradictions Or Debates
Literature Review on Needs of Upper Limb Prosthesis Users,2016,Literature review,multiple,"The review identifies heterogeneity and methodological gaps across studies, notably inconsistent methods and tools making systematic analysis difficult; lack of common evaluation criteria for user satisfaction which prevents objective comparison across studies; insufficient analysis focused on bilateral amputees and their distinct needs; a translational gap where many control and sensory-feedback solutions remain at research stage without clinical application; and specific limitations of promising approaches (e.g., pattern recognition performs worse in real-world settings and demands long training) that restrict clinical uptake.","The paper highlights key limitations: poor, non-intuitive control interfaces that fail to map user intent to prosthetic movement; control methods often need long training and are sensitive to electrode/socket issues leading to signal degradation; invasive neural interfaces face high invasiveness and long-term signal degradation from fibrotic reactions; widespread absence of sensory (tactile/force) feedback and actuator noise reduce functionality and acceptance; and the literature is limited by small, localized studies with heterogeneous methods and selection criteria limiting generalizability.","Recommendations include: align design efforts to user priorities to improve satisfaction and reduce abandonment; adopt standardized evaluation metrics (e.g., common Likert-based scales and objective functional tests) to enable cross-study comparison; conduct dedicated, in-depth studies of bilateral amputees to capture their distinct needs; integrate tactile sensorization (contact, sliding, temperature, force) into prostheses to enable force control and sensory feedback; and develop control systems that independently manage finger position and force to reduce visual attention and improve ADL performance.","The review notes some tensions rather than direct contradictions: it reports that myoelectric prostheses offer higher dexterity and are more intuitive, yet users of these devices still strongly desire sensory feedback because functionality remains incomplete without afferent signals. Additionally, geographic/cultural differences in prosthesis preference (body-powered in the USA vs cosmetic/myoelectric in Europe) suggest variability driven by cost, occupation and healthcare systems rather than clear superiority of one technology."
User experience of transtibial prosthetic liners: A systematic review,2017,Systematic review,user involvement / user experience (multiple: customization and design methods secondary),"Key gaps include insufficient comparative research differentiating user experience across liner types, absence of systematic qualitative studies exploring user perspectives, poor reporting/detail of interventions hindering synthesis, and limited separation of device effects from socket fit or design confounders.","Limitations highlighted are pervasive methodological flaws: sampling bias and non-representative samples, use of non-validated outcome measures and inconsistent adaptation of PEQ, poor reporting of interventions and outcomes, and inadequate statistical analyses including uncontrolled multiple comparisons. These reduce internal and external validity and preclude meta-analysis.","Recommendations: recruit representative samples reflecting clinical populations; use validated, reliable outcome measures and clearly describe measures and interventions to improve comparability; employ appropriate multivariate statistical methods and report full statistics with effect sizes to enable meta-analysis; and conduct foundational qualitative and observational studies to identify sensitive outcome domains.",The paper identifies debates/contradictions: contemporary higher-quality studies suggest elastomer liners may not offer better user experience contrary to earlier positive reports; inconsistencies between objective PEQ scores and user preferences (e.g. Pelite preference despite similar PEQ scores) raise questions about measure sensitivity and interpretation.
Overcoming Challenges and Innovations in Orthopedic Prosthesis Design: An Interdisciplinary Perspective,2023,literature review / discussion paper,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
User-driven design and monitoring systems of limb prostheses: overview on the technology and on the gender-related aspects,2021,literature review,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Prosthetic devices: Challenges and implications of robotic implants and biological interfaces,2007,literature review,multiple,"Identifies persistent failure to meet 'ideal' prosthetic requirements (control, comfort, cosmetics); gaps in biomimetic artificial hand design, EMG signal control for prosthetic implants, implant material tissue reactions, and inflammatory responses interfering with sensor signal transmission — the review frames these as key interdisciplinary research gaps; highlights lack of sufficient understanding of biological interfaces and pathophysiological changes affecting biocompatibility and design outcomes.","Highlights limitations including poor control and usability, discomfort and unsatisfactory aesthetics relative to 'ideal' prosthetics; biological limitations where inflammatory tissue responses degrade implanted sensor signal quality; limited understanding of pathophysiological interactions at biological interfaces that constrains biocompatible material and implant design.","Recommend advancing knowledge of biological interfaces and pathophysiology to inform biocompatible designs; advocate interdisciplinary, holistic collaboration among biomedical, tissue engineers and biomaterials scientists to achieve control, comfort, and cosmetic 'ideals' in prosthetic design.",Not mentioned in source.
A Review of the Performance of Extrinsically Powered Prosthetic Hands,2021,Review (systematic characterization of actuation strategies),"design methods (actuation/transmission), customization, user involvement: multiple",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A Narrative Review of Prosthesis Design Decision Making After Lower-Limb Amputation for Developing Shared Decision-Making Resources.,2024,Narrative review,design methods; user involvement,"Identifies need to study timing of design decisions, how prosthesis design changes over time, and the impact of users' physical and life changes on design decisions.","Highlights complexity and heterogeneity: decision factors are extensive and context-specific, including individual user characteristics, device options, resources, and environment. Also notes lack of detailed descriptions about timing and evolution of design decisions (see gaps).","Recommends using the review as foundational material to support prosthesis user participation in shared decision making, and calls for future research on timing of decisions, longitudinal design changes, and effects of user life/physical changes.",Not mentioned in source.
Improving access to prosthetic limbs in Germany: An explorative review,2023,Explorative qualitative review (interviews),accessibility,"Identifies gaps in equitable access and systemic barriers to obtaining suitable prostheses, including long waiting times and the need for users to negotiate care. Highlights gaps in organizational and regulatory frameworks that limit distribution of innovations and access. Notes lack of integrated approaches combining user-centered design, health technology assessment, monitoring of care pathways, and public/ethical discussion on rationing.","Highlights limitations in the current prosthetic care and reimbursement system, including inconsistent stakeholder perspectives and conflicts about reimbursement processes, and practical barriers for users such as waiting times and having to advocate for specific prostheses.","Recommends organizational and regulatory reforms to improve equitable access and distribution of innovations. Advocates for user-centered prosthesis design, formal health technology assessments, monitoring of care pathways, and broader societal debate on rationing in healthcare.","Identifies conflicting stakeholder perspectives on prosthetic reimbursement and access, indicating debates among insurers, providers, and users about needs and processes."
Toward the Development of User-Centered Neurointegrated Lower Limb Prostheses,2023,Literature review / discussion paper,"Multiple (design methods, customization, user involvement, neurointegration/control)","The paper identifies persistent deficiencies in current lower-limb prostheses relative to healthy limb function, gaps across prosthetic components in meeting users' needs, and specific patient-related issues requiring attention to achieve neurally-integrated, high-function prostheses.","The paper highlights that upgrades in prosthetic components have not closed the performance gap with healthy limbs, indicating limitations in current design and control approaches that fail to fully restore function.","The authors recommend targeted research on design and control strategies to address identified deficiencies, and following a patient-centered roadmap to address patient-related issues for developing neurally-integrated, highly functional prostheses.",Not mentioned in source.
"Effects of lower limb prosthesis on activity, participation, and quality of life: a systematic review",2012,Systematic review,multiple,"The paper identifies limited evidence on real-world effectiveness of prostheses and a lack of studies examining how prosthesis systems affect daily life in natural contexts. It highlights inconsistent results and variable study quality, and explicitly calls for high-quality effectiveness studies focused on users' daily living and QoL. The review also notes that key factors influencing effectiveness remain unexplored and require further research.","The review highlights methodological limitations across included studies: small sample sizes, short follow-up durations, heterogeneity of interventions and outcome measures, and variable internal/external validity scores. It also notes reliance on laboratory/efficacy studies in the field and the challenge of conducting high-level evidence studies that still capture daily-life effectiveness.","The authors recommend conducting high-quality effectiveness studies in real-world contexts focusing on activity, participation, and QoL to inform clinical guidelines. They call for standardised, clinically relevant outcome measures and larger, longer follow-up studies to determine key factors affecting prosthetic effectiveness.","The paper documents contradictory findings across studies, especially regarding the benefits of microprocessor-controlled knees (MP-knee) versus non-microprocessor knees (NMP-knee): some studies report QoL and use improvements and reduced falls, others report no difference in activity or satisfaction. This inconsistency indicates active debate and uncertainty about which prosthetic interventions reliably improve daily-life outcomes."
A systematic literature review of the effect of different prosthetic components on human functioning with a lower-limb prosthesis.,2004,systematic review,multiple,"The review identifies substantial gaps in formal clinical knowledge about how specific prosthetic components and their mechanical characteristics affect lower-limb user functioning. It notes lack of clear clinical consensus on precise prescription criteria for component selection, and highlights limited high-quality evidence (only 4 A-level studies among 40 reviewed), indicating insufficient robust research to guide prescriptions.","The paper highlights methodological limitations across the evidence base: variable study quality assessed against predetermined criteria, with few high-quality (A-level) studies and many lower-quality studies. As a result, existing evidence is insufficiently robust to support guideline development, forcing reliance on expert clinical consensus.","Recommendations include basing prosthetic prescriptions on matching prosthetic functional benefits to user functional needs, and integrating research evidence with clinical expert opinion and consumer preferences to develop guideline procedures for prosthetic prescription.","The paper indicates a lack of consensus on prescription criteria, implying debate or inconsistent findings across the literature regarding which components best serve specific user needs."
"Advancements, Trends and Future Prospects of Lower Limb Prosthesis",2021,Literature review (narrative review),"multiple (design methods, control strategies, customization/3D printing, psycho-social impact, design trends)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Technology for monitoring everyday prosthesis use: a systematic review,2020,Systematic review,"design methods, customization, accessibility, user involvement (multiple)","Limited objective data exists on wear time, activity types, and needed individual design adjustments. Few studies go beyond simple step-counts to classify activities or capture context. Longitudinal monitoring is absent and monitoring durations are short (rarely >1 month). Evidence is lacking on best design and distribution practices to ensure accessibility and meeting user needs. User acceptability of monitoring devices is unreported, representing an unexplored area.","Technical and practical limitations include sensor cost, limited battery life and limited availability preventing routine clinical use. Research limitations include small sample sizes and short monitoring durations, reducing power and generalisability. Outcome measures are insensitive (step-counts only) and algorithms/tools are not user-friendly for clinicians. Additional systemic barriers include lack of training, capacity, cultural concerns, and infrastructure (connectivity, electricity) especially in low-resource settings.",Combine activity monitoring with clinical scores and user feedback for richer evaluation of prosthesis function <citations>0</citations]. Develop and validate algorithms to classify activity types from prosthesis-mounted sensors (including below-knee locations) <citations>1</citations]. Create shared datasets and metadata standards to enable cross-study comparisons and early-warning indicators for socket/tissue issues <citations>2</citations]. Establish a synchronized framework for out-of-clinic monitoring that is appropriate for low-resource contexts <citations>3</citations]. Use sensors that provide raw data access to support bespoke analyses and reproducibility <citations>4</citations].,"There are apparent conflicting findings: many component-comparison studies report no significant differences, yet this may reflect methodological limitations (small N, insensitive measures) rather than true equivalence. Results on prosthetic feet and some knees show mixed outcomes across studies. Additionally, clinic-based functional assessments (e.g., K-levels) do not always align with real-world activity measures, highlighting debate about appropriate outcome measures."
Lower-Limb Prosthetic Technologies in the Developing World: A Review of Literature from 1994–2010,2010,Literature review (comprehensive review of published and secondary sources),"Multiple (design methods, customization, accessibility, user involvement)","Identifies gaps in R&D and dissemination: an “urgent need for research, development and evaluation activities in relation to appropriate orthopaedic technology”, and that ""more research and development is required"" to address durability, knee function, socket fit and alignment. Notes limited publication on key issues—e.g., minimal recent work on improving durability of cosmetic foot shells ""little new information has been published addressing this aspect"", absence of studies on socket suspension for developing countries, and under-reporting of in-country R&D due to dissemination barriers.","Highlights several limitations: widespread ""inadequate durability of prosthetic feet"", persistent issues with ""poor prosthetic socket fit"" and ""poor prosthetic alignment"". Notes technology-specific constraints: CAD/CAM systems face ""high investment costs"" and maintenance burdens limiting suitability; socket fit depends heavily on clinician skill ""requirement for well trained personnel""; and that ""more biomechanically sophisticated devices ... are more likely to break down,"" creating a trade-off between function and durability.","Recommends actionable priorities: prioritize development of ""lightweight foot components with improved durability of the entire prosthetic foot structure including the cosmetic shell""; conduct ""independent field trials"" to assess complex technologies in situ; promote ""collaboration between teams in developed and developing countries"" to improve research quality and dissemination; and ensure projects report across the development cycle (technical development, clinical assessment, field trials).","Identifies tensions and debates: trade-off between biomechanical sophistication and durability (advancing function ""but not at the expense of durability""); limited and mixed evidence on whether high-end solutions (e.g., CAD/CAM) outperform conventional methods ""evidence...is generally limited""; and a broader debate about conflicting design requirements (function, cost, durability, cultural appropriateness) that complicate consensus on optimal solutions."
Study of the Movements of Active Upper Limb Prostheses,2025,literature review,multiple,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Adjustable prosthetic sockets: a systematic review of industrial and research design characteristics and their justifications,2023,Systematic review,"design methods, customization, accessibility, and user involvement (multiple)","The review identifies several explicit research gaps: the relationship between socket design and comfort/function is rarely investigated; a disconnect between industry and academic focus, with different design emphases and limited published evaluation of commercial products; lack of justification and standardized reporting for adjustment locations and ranges; absence of research defining objective metrics for a 'well-fitting' socket; many commercial designs lack supporting clinical studies (68.75% unsupported); and limited research on suitability and application in low-resource settings.","The paper highlights key limitations in the evidence base: small study sizes and predominance of case or cohort studies with few randomized or long-term trials, and only 17.6% evaluated commercial devices; safety features are often absent or unreported, risking tissue damage or poor coupling; underreporting of adverse events (only five studies reported them) and short-term follow-up limit safety and durability assessment; and the review itself is limited by not physically inspecting commercial sockets, requiring assumptions from patents and descriptions.","Recommendations include: prioritise research on adjustable sockets in low-resource settings; improve collaboration and knowledge exchange between academia and industry to evaluate commercial devices and align research to practice; conduct rigorous studies to define objective metrics for a well-fitting socket and to investigate relationships between design, mechanical coupling, comfort, and tissue health; assess comfort systematically across adjustment levels and locations; and apply scientific evaluation to commercial designs to identify which patient subgroups benefit most.","The paper identifies debates and contradictions: industry and research pursue different design approaches with limited cross-evaluation, leading to uncertainty about which designs are most effective; reported comfort improvements lack mechanistic explanations and consistent measurement, producing conflicting interpretations of benefit; and some study demonstrations (e.g., motor-driven panel-induced fluid recovery) show promising tissue effects but rely on actuation methods not feasible in typical clinical devices, raising questions about real-world applicability."
Design trends in actuated lower-limb prosthetic systems: a narrative review,2023,narrative review (literature review / expert opinion),"multiple (design methods, customization, surgical interfaces, user experience)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A systematic review on design technology and application of polycentric prosthetic knee in amputee rehabilitation,2020,systematic review,"design methods, customization, user involvement","The paper identifies a lack of standardized comparative methods for different polycentric knee geometries, a scarcity of high-quality clinical research evaluating clinical outcomes and effectiveness, and gaps in clinical knowledge about how mechanical characteristics of polycentric knees affect user function.","Limitations highlighted include reliance on simulation techniques that require experimental validation, a shortage of clinical trials assessing functional and long-term outcomes, and lack of standardized measures for evaluating prosthetic knee performance, durability, and cost-effectiveness.","Recommendations include developing and implementing standardized evaluation measures for prosthetic knees (function, durability, cost-effectiveness), and employing gait analysis alongside experimental validation to assess knee component performance.","The paper notes limited comparative studies across different geometries, implying inconsistent or insufficient evidence to resolve debates about which designs perform better."
Strength deficits in lower limb prosthesis users: A scoping review,2020,Scoping review,"design methods, customization, accessibility, user involvement, or multiple","The review identifies gaps in measurement and causal understanding: lack of alternative strength metrics and clinical tests, insufficient exploration of causal links between strength deficits and functional impairments, and a need for broader synthesis of emerging literature on muscle weakness in lower limb prosthesis users.","Limitations include a small number of eligible studies relative to the search yield (12 of 377), suggesting limited high-quality or directly relevant evidence, and potential generalizability issues though the review confirms observed strength deficits.","Recommendations are to conduct research on alternative strength metrics and clinical tests, investigate causal relationships between muscle weakness and functional outcomes, and increase clinical focus and scientific study on physical conditioning for lower limb prosthesis users.",Not mentioned in source.
A systematic review on available technologies and selection for prosthetic arm restoration,2022,systematic review,"design methods, customization, usability (multiple)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Psychosocial and physical adjustments and prosthesis satisfaction in amputees: a systematic review of observational studies,2020,Systematic review of observational studies,"multiple (user involvement, customization, accessibility, design methods)",Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A review of current upper-limb prostheses for resource constrained settings,2015,Literature review,Customization; Design methods; Accessibility (resource-constrained settings),Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Issues affecting the level of prosthetics research evidence: Secondary analysis of a systematic review,2016,Secondary analysis of a systematic review,design methods,"The paper identifies gaps in methodological rigor affecting evidence quality: inconsistent comparison conditions and poor control of accommodation time, insufficient handling of fatigue and learning effects, lack of blinding, small sample sizes, weak measurement reliability reporting, subject attrition, and poorly described selection criteria. It also notes gaps in external validity due to limited sample descriptions, unclear representativeness, and inadequate intervention descriptions.","The paper highlights limitations in current prosthetics research: threats to internal validity (variable comparison conditions, inadequate accommodation time justification, fatigue/learning effects, lack of blinding, small N, poor measurement reliability, attrition, weak selection criteria reporting); and threats to external validity (insufficient participant/sample description, unclear representativeness, and poor intervention descriptions).","Recommend addressing methodological limitations, educating evidence consumers, and improving research reporting to advance evidence quality and usability in prosthetics research.",Not mentioned in source.
Guidelines and Recommendations to Investigate the Efficacy of a Lower-Limb Prosthetic Device: A Systematic Review,2019,Systematic review,"design methods, evaluation protocols, and outcome measures (multiple)","The review identifies the lack of a standardized experimental methodology for evaluating lower-limb prosthetic devices, making comparison across studies difficult. It highlights inconsistent outcome selection and reporting — 43 different outcome measures were found across studies spanning biomechanical, physiological, physical performance and psychological domains. It also notes limited use of real-world/daily activities in evaluations and recommends incorporating daily activities first in case reports and subsequently in randomized controlled trials to address this gap.","The paper highlights limitations in current study designs and protocols, notably an over-reliance on laboratory walking tests (78% of tests), with fewer studies assessing stair climbing, other functional tasks, or broader daily activities. It implies limited ecological validity of many studies due to narrow task selection and heterogeneous protocols, complicating aggregation and comparison of results.","Recommend adopting standardized evaluation frameworks that incorporate multiple outcome domains — biomechanical, physiological, physical performance and psychological — when assessing LLPDs. They advise including daily activities in initial case reports and progressing to randomized controlled trials to improve external validity and comparability.",Not mentioned in source.
"Design, Kinematics and Gait Analysis, of Prosthetic Knee Joints: A Systematic Review",2023,Systematic review,"design methods, kinematics and gait (multiple)","The review identifies several research gaps: a need for powered/active prosthetic knee designs that meet amputees' requirements; insufficient work on uphill/ramp locomotion and inclined-surface kinematics; lack of intent-recognition (volitional) control for stairs and other modes; underdeveloped active EMG-based transfemoral prostheses for robust real-time control; and a shortage of real-time testing on amputees (many studies use models, healthy subjects, or virtual environments).","The paper highlights limitations including lack of comfort and reliability in commercial prostheses; passive hydraulic/pneumatic designs with fixed impedance that cannot adapt to varied locomotion; many active designs are complex and remain in labs without real-time amputee testing; material constraints (e.g., CFRP poor conductivity for active systems).",Recommendations include: develop EMG-based electromechanical transfemoral prostheses for intent recognition and volitional control; implement real-time testing on amputees (not only simulations or healthy subjects); consider energy/torque/impedance control designs and regeneration methods to power active prostheses; and provide adequate user training prior to deployment.,"The paper notes mixed findings and trade-offs: while microprocessor-controlled knees generally outperform non-microprocessor ones, hybrid designs may sacrifice stability; studies vary in which biomechanical parameters are met, indicating inconsistent evidence across prototypes. It emphasizes consensus that closed-loop active control is necessary for stable volitional ambulation."
Towards active lower limb prosthetic systems: design issues and solutions,2016,Literature review / discussion paper,"design methods, control, and human factors (multiple)","Identifies gaps in prosthesis technology simulation and modelling needs, challenges in mechatronic actuator and kinematic design and lack of suitable control algorithms, insufficient integration of biomechanical analysis into design requirements, and a lack of incorporation of human factors and psychological assessment methods into design processes.","Highlights limitations in current passive designs prompting move to powered robotic systems, challenges in actuation where compliant actuators are promising but not fully solved, and psychological limitations such as user acceptance and embodiment/integration into body schema.","Recommend development of bio-inspired controllers for varied gait conditions, greater use of biomechanical analysis and simulation to inform requirements and assess utility, and incorporation of psychological assessment and human factors into design and evaluation processes.","Notes evolution from passive to active systems and a variety of active designs in literature, implying diversity of approaches but does not present explicit contradictions; indicates ongoing debate on best actuation/control strategies though specific conflicting findings are not detailed."
Focusing Research Efforts on the Unique Needs of Women Prosthesis Users,2021,narrative review / literature review,customization; user involvement; accessibility,"Identifies gaps in research on female-specific prosthetic needs, notably a lack of solutions enabling varied footwear (including high heels), insufficient characterization of footwear preferences and how prosthesis-footwear interactions affect mobility and participation outcomes, and an overall underrepresentation of women in prosthetics research limiting evidence to guide rehabilitation.","Highlights limitations in current prosthetic design and practice: poor fit and aesthetic satisfaction for women, limited accommodation for diverse footwear, and insufficient evidence-based prescription guidelines despite emerging attention in guidelines.","Calls for targeted research initiatives to (a) characterize footwear preferences and the interaction of prosthesis design with footwear and mobility/participation outcomes, (b) develop prosthetic solutions that accommodate varied footwear options, and (c) generate evidence-based, patient-centered prescription guidelines responsive to women’s needs.",Not mentioned in source.
Organizing and Prioritizing User Needs for Upper Limb Prostheses,2025,systematic review (PRISMA),user involvement; customization; design methods (multiple),Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
